areaCode,areaName,areaType,date,newAdmissions,newCasesBySpecimenDate
E92000001,England,nation,2020-09-13,153,1708
E92000001,England,nation,2020-09-12,143,2205
E92000001,England,nation,2020-09-11,135,2858
E92000001,England,nation,2020-09-10,143,3100
E92000001,England,nation,2020-09-09,136,2849
E92000001,England,nation,2020-09-08,99,3000
E92000001,England,nation,2020-09-07,84,3460
E92000001,England,nation,2020-09-06,85,2056
E92000001,England,nation,2020-09-05,94,2189
E92000001,England,nation,2020-09-04,67,2590
E92000001,England,nation,2020-09-03,69,2661
E92000001,England,nation,2020-09-02,79,2618
E92000001,England,nation,2020-09-01,58,1927
E92000001,England,nation,2020-08-31,52,1260
E92000001,England,nation,2020-08-30,38,975
E92000001,England,nation,2020-08-29,52,1040
E92000001,England,nation,2020-08-28,44,1384
E92000001,England,nation,2020-08-27,69,1326
E92000001,England,nation,2020-08-26,52,1136
E92000001,England,nation,2020-08-25,60,1062
E92000001,England,nation,2020-08-24,41,1133
E92000001,England,nation,2020-08-23,44,698
E92000001,England,nation,2020-08-22,25,715
E92000001,England,nation,2020-08-21,49,1007
E92000001,England,nation,2020-08-20,45,1218
E92000001,England,nation,2020-08-19,58,1074
E92000001,England,nation,2020-08-18,56,923
E92000001,England,nation,2020-08-17,46,1135
E92000001,England,nation,2020-08-16,39,530
E92000001,England,nation,2020-08-15,38,643
E92000001,England,nation,2020-08-14,55,1037
E92000001,England,nation,2020-08-13,60,1022
E92000001,England,nation,2020-08-12,51,1095
E92000001,England,nation,2020-08-11,63,1213
E92000001,England,nation,2020-08-10,50,1348
E92000001,England,nation,2020-08-09,53,555
E92000001,England,nation,2020-08-08,78,637
E92000001,England,nation,2020-08-07,60,866
E92000001,England,nation,2020-08-06,52,981
E92000001,England,nation,2020-08-05,60,942
E92000001,England,nation,2020-08-04,58,920
E92000001,England,nation,2020-08-03,74,936
E92000001,England,nation,2020-08-02,57,512
E92000001,England,nation,2020-08-01,50,494
E92000001,England,nation,2020-07-31,55,626
E92000001,England,nation,2020-07-30,75,856
E92000001,England,nation,2020-07-29,63,972
E92000001,England,nation,2020-07-28,69,779
E92000001,England,nation,2020-07-27,82,808
E92000001,England,nation,2020-07-26,64,515
E92000001,England,nation,2020-07-25,65,492
E92000001,England,nation,2020-07-24,93,718
E92000001,England,nation,2020-07-23,109,728
E92000001,England,nation,2020-07-22,82,746
E92000001,England,nation,2020-07-21,79,688
E92000001,England,nation,2020-07-20,86,753
E92000001,England,nation,2020-07-19,72,414
E92000001,England,nation,2020-07-18,48,468
E92000001,England,nation,2020-07-17,83,548
E92000001,England,nation,2020-07-16,114,641
E92000001,England,nation,2020-07-15,116,725
E92000001,England,nation,2020-07-14,122,650
E92000001,England,nation,2020-07-13,137,689
E92000001,England,nation,2020-07-12,72,353
E92000001,England,nation,2020-07-11,97,421
E92000001,England,nation,2020-07-10,104,521
E92000001,England,nation,2020-07-09,136,683
E92000001,England,nation,2020-07-08,141,672
E92000001,England,nation,2020-07-07,148,559
E92000001,England,nation,2020-07-06,150,653
E92000001,England,nation,2020-07-05,131,540
E92000001,England,nation,2020-07-04,120,388
E92000001,England,nation,2020-07-03,146,540
E92000001,England,nation,2020-07-02,149,564
E92000001,England,nation,2020-07-01,201,616
E92000001,England,nation,2020-06-30,189,572
E92000001,England,nation,2020-06-29,172,667
E92000001,England,nation,2020-06-28,155,410
E92000001,England,nation,2020-06-27,209,504
E92000001,England,nation,2020-06-26,248,640
E92000001,England,nation,2020-06-25,256,637
E92000001,England,nation,2020-06-24,262,726
E92000001,England,nation,2020-06-23,275,729
E92000001,England,nation,2020-06-22,318,814
E92000001,England,nation,2020-06-21,215,549
E92000001,England,nation,2020-06-20,184,628
E92000001,England,nation,2020-06-19,253,821
E92000001,England,nation,2020-06-18,312,943
E92000001,England,nation,2020-06-17,334,910
E92000001,England,nation,2020-06-16,354,993
